Country,Code,land_boundaries,coastline,num_border_countries,border_countries
Russia Federation,RUS,22407,37653,14,"Azerbaijan 338 km; Belarus 1,312 km; China (southeast) 4,133 km and China (south) 46 km; Estonia 324 km; Finland 1,309 km; Georgia 894 km; Kazakhstan 7,644 km; North Korea 18 km; Latvia 332 km; Lithuania (Kaliningrad Oblast) 261 km; Mongolia 3,452 km; Norway 191 km; Poland (Kaliningrad Oblast) 209 km; Ukraine 1,944 km"
Rwanda,RWA,930,0,4,Burundi 315 km; Democratic Republic of the Congo 221 km; Tanzania 222 km; Uganda 172 km
Saint Barthelemy,BLM,0,,,
Saint Helena,SHN,0,60,0,
Saint Kitts & Nevis,KNA,0,135,0,
Saint Lucia,LCA,0,158,0,
Saint Martin,MAF,16,58.9,1,Sint Maarten 16 km
Saint Pierre and Miquelon,SPM,0,120,0,
Saint Vincent and the Grenadines,VCT,0,84,0,
Samoa,WSM,0,403,0,
San Marino,SMR,37,0,1,Italy 37 km
Sao Tome and Principe,STP,0,209,0,
Saudi Arabia,SAU,4272,2640,7,"Iraq 811 km; Jordan 731 km; Kuwait 221 km; Oman 658 km; Qatar 87 km; UAE 457 km; Yemen 1,307 km"
Senegal,SEN,2684,531,5,The Gambia 749 km; Guinea 363 km; Guinea-Bissau 341 km; Mali 489 km; Mauritania 742 km
Serbia,SRB,2322,0,8,Bosnia and Herzegovina 345 km; Bulgaria 344 km; Croatia 314 km; Hungary 164 km; Kosovo 366 km; North Macedonia 101 km; Montenegro 157 km; Romania 531 km
Seychelles,SYC,0,491,0,
Sierra Leone,SLE,1093,402,2,Guinea 794 km; Liberia 299 km
Singapore,SGP,0,193,0,
Sint Maarten,SXM,16,58.9,1,Saint Martin (France) 16 km
Slovakia,SVK,1587,0,5,Austria 105 km; Czechia 241 km; Hungary 627 km; Poland 517 km; Ukraine 97 km
Slovenia,SVN,1211,46.6,4,Austria 299 km; Croatia 600 km; Hungary 94 km; Italy 218 km
Solomon Islands,SLB,0,5313,0,
Somalia,SOM,2385,3025,3,"Djibouti 61 km; Ethiopia 1,640 km; Kenya 684 km"
South Africa,ZAF,5244,2798,6,"Botswana 1,969 km; Lesotho 1,106 km; Mozambique 496 km; Namibia 1,005 km; Eswatini 438 km; Zimbabwe 230 km"
South Georgia & The South Sandwich Islands,SGS,0,,,
South Sudan,SSD,6018,0,6,"Central African Republic 1,055 km; Democratic Republic of the Congo 714 km; Ethiopia 1,299 km; Kenya 317 km; Sudan 2,158 km; Uganda 475 km"
Spain,ESP,1952.7,4964,5,"Andorra 63 km; France 646 km; Gibraltar 1.2 km; Portugal 1,224 km; Morocco (Ceuta) 8 km and Morocco (Melilla) 10.5 km"
Sri Lanka,LKA,0,1340,0,
Sudan,SDN,6819,853,7,"Central African Republic 174 km; Chad 1,403 km; Egypt 1,276 km; Eritrea 682 km; Ethiopia 744 km; Libya 382 km; South Sudan 2,158 km"
Suriname,SUR,1907,836,3,Brazil 515 km; French Guiana 556 km; Guyana 836 km
Svalbard and Jan Mayen,SJM,0,3587,0,
Swaziland,SWZ,546,0,2,Mozambique 108 km; South Africa 438 km
Sweden,SWE,2211,3218,2,"Finland 545 km; Norway 1,666 km"
